id,catId,title,status,owner,dueDate,startDate,documentUrl,refUrl,notes
1.1.1,1,ข้อมูลพื้นฐานโรงพยาบาล,completed,แผนยุทธศาสตร์,2569-05-05,2569-04-01,,https://w2.med.cmu.ac.th/nd/ha-it/,
1.1.2,1,สรุปแผนยุทธศาสตร์ของโรงพยาบาล,completed,แผนยุทธศาสตร์,2569-05-08,2569-04-01,,https://w2.med.cmu.ac.th/nd/ha-it/,
1.1.3,1,ตารางวิเคราะห์ปัจจัยความสำเร็จ IT,in_progress,CIO,2569-05-12,2569-04-05,,https://w2.med.cmu.ac.th/nd/ha-it/,
1.1.4,1,แผนยุทธศาสตร์ IT,in_progress,CIO,2569-05-18,2569-04-08,,https://w2.med.cmu.ac.th/nd/ha-it/,
1.1.5,1,แผนปฏิบัติการ IT ปีปัจจุบัน,not_started,หัวหน้า IT,2569-05-22,2569-04-15,,https://www.banbunghospital.com/hait-2025/,
1.1.6,1,ประเมินผลการดำเนินงานปีที่ผ่านมา,not_started,CIO,2569-05-25,2569-04-20,,https://www.banbunghospital.com/hait-2025/,
2.1.1,2,ประเมินจุดอ่อนช่องโหว่ประจำปี,completed,IT Security,2569-05-03,2569-04-01,,https://www.banbunghospital.com/hait-2025/,
2.1.2,2,คะแนนความเสี่ยง (PxI),in_progress,IT Security,2569-05-10,2569-04-08,,https://www.banbunghospital.com/hait-2025/,
2.1.3,2,แผนกลยุทธ์จัดการความเสี่ยง 4 ตาราง,needs_revision,CIO,2569-05-15,2569-04-10,,https://www.banbunghospital.com/hait-2025/,
2.1.4,2,แผนปฏิบัติการจัดการความเสี่ยง,not_started,IT Security,2569-05-25,2569-04-15,,https://www.banbunghospital.com/hait-2025/,
2.1.5,2,ประเมินผลการจัดการความเสี่ยง,not_started,CIO,2569-05-28,2569-04-25,,https://www.banbunghospital.com/hait-2025/,
3.1.1,3,นโยบายความมั่นคงปลอดภัย + PDPA,completed,CIO,2569-04-30,2569-04-01,,https://it.sarapeehospital.go.th/,
3.1.2,3,ระเบียบปฏิบัติความมั่นคงปลอดภัย,completed,IT Security,2569-05-05,2569-04-01,,https://it.sarapeehospital.go.th/,
3.1.3,3,ประเมินความรับรู้ของบุคลากร,in_progress,HR,2569-05-12,2569-04-12,,https://www.banbunghospital.com/hait-2025/,
3.1.4,3,ประเมินความเข้าใจของบุคลากร,not_started,HR,2569-05-18,2569-04-15,,https://www.banbunghospital.com/hait-2025/,
3.1.5,3,ประเมินการปฏิบัติของบุคลากร,not_started,HR,2569-05-25,2569-04-20,,https://www.banbunghospital.com/hait-2025/,
3.1.6,3,สรุปการปรับปรุง Data Center,in_progress,IT Infrastructure,2569-05-28,2569-04-05,,https://www.banbunghospital.com/hait-2025/,
3.2.1,3,HAIT Plus ข้อ A-R (18 หัวข้อ),not_started,IT Security,2569-05-30,2569-04-15,,https://tmi.or.th/wp-content/uploads/2026/01/Document_HAIT_HAITStarV1.pdf,
3.2.2,3,คู่มือดูแล Data Center,needs_revision,IT Infrastructure,2569-05-15,2569-04-10,,https://www.banbunghospital.com/hait-2025/,
3.2.3,3,คู่มือสำรองข้อมูล,in_progress,IT Infrastructure,2569-05-10,2569-04-08,,https://www.banbunghospital.com/hait-2025/,
3.3,3,แผน BCP + รายงานผลการซ้อม,completed,คณะทำงาน HAIT,2569-05-05,2569-04-01,,https://www.vachiraphuket.go.th/hait/,
3.4,3,แผน DRP + รายงานผลการซ้อม,in_progress,IT Infrastructure,2569-05-20,2569-04-05,,https://www.vachiraphuket.go.th/hait/,
4.1,4,การจัดระบบ Service Desk,in_progress,IT Support,2569-05-15,2569-04-01,,https://www.banbunghospital.com/hait-2025/,
4.2,4,SLA + ผลการดำเนินงาน,in_progress,IT Support,2569-05-18,2569-04-05,,https://www.banbunghospital.com/hait-2025/,
4.3,4,บันทึกอุบัติการณ์ 3-6 เดือน,not_started,IT Support,2569-05-28,2569-04-10,,https://www.banbunghospital.com/hait-2025/,
4.4,4,บันทึกกิจกรรม IT รายวัน,not_started,หัวหน้า IT,2569-05-30,2569-04-10,,https://www.banbunghospital.com/hait-2025/,
5.1,5,ตรวจสอบคุณภาพเวชระเบียน OPD,completed,เวชระเบียน,2569-05-25,2569-04-01,,https://www.banbunghospital.com/hait-2025/,
5.2,5,ตรวจสอบคุณภาพเวชระเบียน IPD,in_progress,เวชระเบียน,2569-05-28,2569-04-05,,https://www.banbunghospital.com/hait-2025/,
6.1,6,วิเคราะห์ระบบเดิม vs ใหม่,not_started,Developer,2569-05-18,2569-04-15,,https://www.banbunghospital.com/hait-2025/,
6.2.1,6,Context Diagram,not_started,Developer,2569-05-20,2569-04-20,,https://www.banbunghospital.com/hait-2025/,
6.2.2,6,Data Flow Diagram,not_started,Developer,2569-05-22,2569-04-22,,https://www.banbunghospital.com/hait-2025/,
6.2.3,6,ER-Diagram,not_started,Developer,2569-05-25,2569-04-25,,https://www.banbunghospital.com/hait-2025/,
6.2.4,6,Data Dictionary,not_started,Developer,2569-05-28,2569-04-28,,https://www.banbunghospital.com/hait-2025/,
7.1.1,7,ทะเบียน Hardware,completed,IT Infrastructure,2569-05-05,2569-04-01,,https://www.banbunghospital.com/hait-2025/,
7.1.2,7,ทะเบียน Software,in_progress,IT Infrastructure,2569-05-10,2569-04-05,,https://www.banbunghospital.com/hait-2025/,
7.1.3,7,ทะเบียน Network + Diagram,in_progress,IT Infrastructure,2569-05-15,2569-04-05,,https://www.banbunghospital.com/hait-2025/,
7.1.4,7,Utilization Server/Internet,not_started,IT Infrastructure,2569-05-25,2569-04-15,,https://www.banbunghospital.com/hait-2025/,
